,,,SRS,,,Scoring,,Passing,,Rushing,,Total,,Offense,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,,Defense,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School?,G,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Air Force,2,3.33,2.66,5.99,30.75,12,4.86,8.74,5.74,0.66,5.21,4,29,3,7.5,40,49.5,0,63,273,4.3,4,70.5,322.5,4.6,3,15.5,0.5,19,5,41.5,0,0,0,8.5,10.5,19.5,53.8,137.5,0.5,28.5,40,1.4,0.5,48,177.5,3.7,4.5,3,1,9,3.5,35.5,0.5,0.5,1
2,Akron,2,-2.17,-18.74,-20.91,28.34,25.53,8.88,9.66,4.2,3.14,6,6.4,17,20.5,30.5,67.2,191,1.5,39,96,2.5,0.5,69.5,287,4.1,11,6.5,1.5,19,4.5,35,0.5,0.5,1,52.5,20.5,25,82,271,2.5,33,246.5,7.5,3.5,58,517.5,8.9,12,11,0.5,23.5,5,47.5,0,0,0
3,Alabama,2,10.08,5.48,15.56,53.33,10.01,8.55,7.59,5.33,1.15,6.97,3.83,46,24,35,68.6,310,3.5,36,152.5,4.2,1.5,71,462.5,6.5,15.5,8.5,2,26,8.5,88,0.5,0,0.5,13.5,16.5,25,66,173,1.5,33.5,68,2,0,58.5,241,4.1,7.5,5,3,15.5,7,64.5,0.5,2,2.5
4,Appalachian State,2,-0.92,-1.87,-2.8,42.99,14.01,5.36,6.71,6.94,3.08,6.31,4.61,28,20.5,30.5,67.2,229,1.5,37,189.5,5.1,1.5,67.5,418.5,6.2,10,10.5,1.5,22,6.5,56.5,0,1,1,22,21,37,56.8,247.5,1,32.5,138.5,4.3,1,69.5,386,5.6,11.5,8.5,2.5,22.5,6.5,75,0.5,0.5,1
5,Arizona,2,-2.21,-8.28,-10.49,31.48,23.4,7.36,11.91,4.94,3.72,5.9,6.91,15,27,42,64.3,262,1.5,27,65,2.4,0,69,327,4.7,10,6,2,18,5.5,38.5,0,1,1,31,14.5,22,65.9,195,2,44,218,5,1.5,66,413,6.3,6,12,1.5,19.5,5.5,57,0,0,0
6,Arizona State,2,0.63,6.32,6.95,38.31,9.29,7.78,4.65,6.18,2.62,6.6,3.64,39,17,23.5,72.3,187,1,43.5,256,5.9,4.5,67,443,6.6,8,15,2.5,25.5,10,99,1,0.5,1.5,12,13,25,52,106.5,0,29,83,2.9,1.5,54,189.5,3.5,5.5,5,2.5,13,5.5,44.5,0.5,1.5,2
7,Arkansas,2,12.07,-6,6.07,38.23,22.37,6.21,6.55,5.3,2.95,6.6,4.47,39,13,20,65,133,0.5,45.5,289,6.4,4,65.5,422,6.4,4.5,14,1,19.5,8.5,78.5,0,1,1,19,15,29,51.7,172.5,0.5,40,109.5,2.7,2,69,282,4.1,9.5,3.5,4,17,7,40,0.5,1.5,2
8,Arkansas State,2,14.96,-11.35,3.62,47.98,25.96,9.84,6.13,5.88,-0.03,7.72,4.34,45,14,19,73.7,159.5,2,19,98,5.2,0.5,38,257.5,6.8,6,4.5,2,12.5,3,25,0.5,0,0.5,38,11.5,21,54.8,148,1.5,10,21,2.1,0,31,169,5.5,5,1.5,1,7.5,3.5,38.5,1,1,2
9,Army,2,7.94,10.33,18.27,42.71,-3.56,27.91,8.42,4.77,-0.33,5.86,3.86,40.5,4,5,80,87.5,1.5,66.5,299.5,4.5,4,71.5,387,5.4,3.5,17.5,0.5,21.5,3.5,30,0.5,0,0.5,22.5,20,30,66.7,282,1.5,23.5,45,1.9,1.5,53.5,327,6.1,13.5,3,1.5,18,5,37.5,0.5,1,1.5
10,Auburn,2,-7.09,13.22,6.13,60.81,5.16,8.92,4.99,10.07,1.15,9.36,3.11,61,16.5,23,71.7,235.5,3,35.5,340,9.6,4,58.5,575.5,9.8,10,13.5,1,24.5,6.5,46,0.5,0,0.5,5,20.5,28,73.2,160.5,0.5,32,33.5,1,0,60,194,3.2,8.5,2.5,0.5,11.5,6.5,46,0.5,0.5,1
